 reviewerID,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount,No_Of_Reviews,P_Filtered
1istR9-lF-etwSwJ4ROhQg,0,4,0,4,1,7,0,0,0,4,0
1iXjfMaJGgYsOfIK1Ks8Ww,20,10,0,3,3,3,0,13,0,10,0
1jDNHJUHsQbDISu9Os6Vg,6,11,0,3,2,0,2,2,0,11,18.1818
1k0Fsl7y9Oi9JjlLPowZSg,4,68,9,34,8,6,5,2,1,68,0
1lMU2hQKtPzYUxSuUH3q8g,21,34,8,99,20,16,16,44,6,34,11.4286
1n7mVMZGdB6pxL0peJuzZA,23,57,4,28,6,7,2,24,1,57,8.33333
1np2gcMyWYlaBv6kCDThJQ,53,20,2,168,160,97,259,0,7,20,15
1PJcmVWu5B1sK349_EuIAg,105,60,2,35,11,11,2,0,1,60,8.95522
1PkQGmSYxBXSiZNtTBVTQw,0,4,1,2,0,0,0,1,0,4,0
1pzP58PeWictHQzctMU0nQ,274,270,33,928,707,541,378,60,23,270,17.5182
1sMZdqmCa_X2Lf_x6XOCFw,310,465,38,2538,2161,1959,3029,168,41,465,11.9247
1t3I8ePVDI7iFeJ4Z5xFAQ,11,33,0,34,8,11,0,0,0,33,15.3846
1UCpXJGeBxtseDtuDp5tQA,11,26,7,28,8,12,10,0,0,26,18.5185
1v726Dk-PVWZQZ1ZOriI3A,12,17,1,6,1,0,0,0,1,17,13.6364
1vWJ_JAYgPHahRac5ksFPg,4,65,0,33,17,9,2,0,0,65,11.9403
1Wkzdq1oxUqgL1Tx09_I8g,48,11,3,14,3,2,3,69,2,11,16.6667
1XlzcRWcpismkK9rIjh14g,15,32,10,26,14,8,3,0,1,32,15.625
1zTueigAlC-d17eBmyHsDg,14,24,5,24,6,4,1,0,0,24,16
1Zu-olVyfi2wioMTdOjLA,3,35,6,24,6,6,1,0,1,35,14.2857
20Cgl7PgQc_JQmxQm8a0eA,3,118,18,27,8,15,5,10,0,118,16.2602
20d8Flfy-U2PyuR_Yv8FJw,0,1,0,1,0,0,0,0,0,1,0
25D2Dcv4njPbbO13gPOGnw,25,75,11,114,29,19,29,0,3,75,13.75
27KwcOfV76iOvi5Vd6Z-3w,19,14,2,25,5,0,1,88,0,14,16.6667
28c3vVqDIVeQJAPzDva55A,1,8,0,2,0,2,4,2,1,8,0
28ePqV724w4GHk-hBB7rQw,2,20,0,8,0,2,1,0,0,20,16
28Q7AHdeyOxhJNV_-lAaVQ,0,3,0,0,0,0,0,0,0,3,0
29cMd3kgzjNJPEA4-UlLdA,1,102,8,22,4,3,0,0,0,102,4.20168
2eCTQoBJETQSU-Oi9gjyuw,30,221,29,83,8,12,3,17,2,221,9.45946
2h_DvTSMfed58CrFD4oQVg,3,13,2,26,16,10,0,0,2,13,7.14286
2IhCSLoIivH0k6TcvH-2Bg,2,38,2,4,0,0,1,0,0,38,10.5263
2iS1vg5TYpV_iEiNC8osTg,33,131,3,113,41,23,27,0,3,131,13.9706
2M39kcozOLoDfnXxBprjMA,0,2,0,0,0,0,0,0,0,2,0
2n0OH9mDLjJYhVMfy3QRPA,9,55,19,13,5,3,10,62,0,55,7.27273
2N-pSWoeBa6L06_5QLrQQ,26,82,10,43,19,12,21,39,0,82,0
2o9wUxdv8eN0P9MLcmszwg,0,2,0,0,0,0,0,0,0,2,0
2OYq-N_bOFegfz0nRaP7Bg,21,16,2,23,14,5,1,0,0,16,18.75
2QjDDCOd2q-d5DeALzIkFw,27,79,6,114,54,66,11,53,3,79,8.75
2qzzlh6tBblaqMoaWUVhHA,0,3,0,3,0,0,0,0,0,3,0
2Ros3nmFn1n6meNCL53oPQ,0,3,0,3,2,0,0,1,0,3,0
2TUvIeLTpWcgJ3rg6rfFRg,0,1,0,0,0,0,0,0,0,1,0
2u12P-Ymfw1BkaPTrH35tw,55,5,1,4,0,0,0,11,1,5,0
2uFhRqz82re7I9EwZu4fAA,0,2,0,1,0,0,0,1,0,2,0
2WcuY_AzP9phu4B9iBVfCg,21,97,5,135,37,37,28,89,1,97,15.4639
2wFuId_PLm39BRjCtppe2A,9,12,0,3,1,0,0,1,0,12,7.69231
2WZazR-CfkjkSRdaGSSU0w,27,272,14,448,321,199,84,24,6,272,13.4058
2XbSltF9BGHPCZuSpIxLow,0,2,0,1,1,0,0,0,0,2,0
2YuYRqSTsqHHZaiWXpo3Aw,571,434,20,2869,2222,1995,2205,321,52,434,16.6302
3_UzdLx7oQ4759Ho-5bGPQ,11,42,0,11,2,9,0,0,0,42,2.22222
31V_EgbGKBVF42SAreq-Qw,11,18,2,12,3,3,6,59,0,18,5.55556
34kmUQKO6NGCjGWxZ1Dq8w,6,6,0,2,1,0,0,3,0,6,14.2857
35LKE07yE1PAYW8IyGNkvA,5,72,11,98,48,49,6,5,1,72,13.8889
37zZ5L4npECu2HvvAbQU5A,0,2,0,0,0,3,0,0,0,2,0
3DoqDwKyiqzAzq39L7SSBg,0,8,0,4,2,0,0,0,0,8,12.5
3gNzQHU0xLhWMHwrmmkLpg,37,33,2,18,4,0,1,7,0,33,14.2857
3jPxD3CNma-teGoQNM4HEQ,21,10,2,2,3,1,1,41,0,10,0
3lUkFxUQKeMUYH7-z_kmjg,5,131,4,64,18,24,3,0,0,131,3.0303
3lYsxj5URI6KlhSGJMEDpw,7,20,3,18,3,9,3,16,2,20,10.6383
3NhFkNOmysxYH-qrm5RXBA,38,81,17,65,25,21,19,27,2,81,15.8537
3nY18D4-3yoYcNK9PyKHtA,33,68,1,112,76,68,23,3,1,68,0
3p4DZTHawNOmEUyYi8vwUw,0,10,1,1,1,0,0,5,0,10,10
3pyi2amTB40v8KweHYxGVA,0,1,0,0,0,0,0,0,0,1,0
3qdOo7aWhIHWrKuT9jw3Gg,491,314,34,1096,610,508,403,540,32,314,13.3758
3Qmua4JqcT7yQEyF5susHg,1,19,7,41,6,13,1,0,2,19,15
3sqXeWS-CBX2sbdBLTedYw,0,1,0,0,0,0,0,0,0,1,0
3sWi5bhAAcX7OUEz48-pRQ,0,1,0,0,0,1,0,0,0,1,0
3Uf2UygnB-pcskEbwsRvTA,3,9,1,9,1,1,2,2,0,9,9.09091
3UWI2WpnfIGANuHNjUG5A,414,48,3,75,48,38,73,30,5,48,5
3WZt8ICFLpogX-nORBYETA,3,10,0,15,6,5,3,0,0,10,18.1818
3xED1P6qWDrdZR81kiJuyQ,0,12,0,17,3,1,1,0,0,12,8.33333
3YUXH-y_2vPsoSknW3eZLQ,2,17,9,25,0,0,0,0,0,17,15.7895
3zeV0pAFRWWCD3e46475qA,15,1,0,1,0,1,0,0,0,1,0
42h4nhzVtfbG5QYETV3Caw,0,13,2,11,0,7,0,0,1,13,15.3846
48Ef4Mev6YWvZjPqZvYR9g,1,20,0,4,2,3,2,0,0,20,0
48w8IAwfeATiR3rfuH6ouw,69,211,31,241,78,68,57,0,5,211,17.9245
49ioJ0SordP9rLPGPp__9w,1,3,0,2,0,0,0,0,0,3,0
49sOmTbdvMMk9dXG6oJkZg,3,1,0,2,0,2,0,0,0,1,0
4ABktWZ7hBX86f0hYh5_bA,117,242,23,383,235,217,243,14,13,242,4.52675
4cU8EQXmFUxUpGsgtk72hg,0,32,1,28,9,4,3,0,0,32,17.6471
4e7jWr-guVh-NjK2yKL8Sg,0,5,0,0,0,0,0,0,0,5,0
4EZliIfnqGotH-xMWD7Fuw,0,2,0,0,0,0,0,0,0,2,0
4g46oQ2Pk6Ty-XbCAEPFRg,2,5,1,3,1,1,1,0,0,5,0
4h3eCzS8C_AOllIGoNZUNA,5,33,7,18,4,10,1,2,2,33,12.1212
4ijxvw5KXlEdZYYPlqdegg,145,17,3,26,3,3,16,675,4,17,17.6471
4iLviwoGLl4HXkSVm5QLAA,1,28,6,10,1,1,1,4,2,28,7.14286
4JO5JtHc9Ou6apumv1qFeg,0,10,1,3,2,0,0,0,0,10,18.1818
4Kji5zAnijK9_hq84GMyiA,9,1,0,1,0,0,1,0,0,1,0
4KY3j3I072EXWINzC7ngiw,60,132,27,143,46,21,13,14,1,132,12.8788
4MHAH0mxUsgUtzn0DWedlA,5,1,0,3,0,0,0,0,0,1,0
4mrT5PzEYZymN_lyxEU1cA,8,128,7,19,5,0,13,0,1,128,13.9706
4MvVzvoNslTLEKKArAbADg,7,1,0,0,0,0,0,0,0,1,0
4n10w_9HdxokP3CCVvrclA,1,30,3,22,5,7,1,1,0,30,16.2162
4NbI9ZypLpw4GZg1q0Ktyw,0,7,2,8,1,0,0,0,0,7,12.5
4NzTzryQx9PfuVJgZiXWDQ,0,9,0,3,2,2,0,0,0,9,0
4Oua7O_IsDvhWxa25wk_WA,1,1,0,0,0,0,0,0,0,1,0
4OUHRNffZruUoplz0Co25w,3,22,3,3,1,2,0,0,0,22,18.1818
4QcghpoGxoKb6x-atHhJhg,0,2,0,1,0,0,0,0,0,2,0
4rGP_TDwRw3i4oPJJHFfKQ,25,77,10,80,31,23,7,1,4,77,7.69231
4SgJJeAQKP5ZPA1_hv2Tpg,1,1,0,2,1,1,0,1,0,1,0
4ssDCBvb9LC2cMpWxjhpRQ,0,185,26,125,32,24,4,3,2,185,14.0541
4sy5iPF-XKl2I5uRWsaBEw,0,14,0,8,4,0,0,0,0,14,5.55556
4SYTyhS_JZYO1Nms-6pTpQ,3,17,4,8,3,2,2,2,0,17,17.6471
4UCqhtKZgLQqp7Ns9VcPdQ,49,24,3,104,64,73,17,8,2,24,4
4UzpRsaiE0PgQ2Qiv5trjQ,0,1,0,0,1,0,0,0,0,1,0
4vyIItbdZ80s0HVlGhAJdg,34,114,20,176,68,59,27,0,3,114,14.2857
4wfsqER0jppg5aAyC3Dsag,9,65,3,15,4,5,9,18,1,65,2.94118
4yBeTyg2s4TvUfSj6g4_ww,14,29,0,6,2,1,0,1,0,29,6.45161
4YtnDGPzLdLwTz4ZqP99tw,1,18,2,3,2,1,1,2,0,18,16.6667
4YXsUnpiD3andxLj060FRQ,0,1,0,0,1,0,0,0,1,1,0
50xRP_rJi-kBI-ER5W9oIQ,0,6,0,24,0,2,0,0,0,6,16.6667
553eu_x1WnYhapI88GKruA,0,1,0,0,0,0,0,0,0,1,0
55e8VY-J0K026BofU8IozQ,4,21,2,27,12,6,3,0,2,21,18.1818
56_Bfzqw2KiThF8zPfKAFg,3,3,0,1,0,0,0,1,0,3,0
58nHai-B2WwlzwFq4eI51g,38,11,0,4,3,1,1,0,1,11,0
5De8X3WbZG1f3GQp2n3dXg,0,5,1,3,0,0,1,0,0,5,0
5FaDKCjx8fG_lvxNjJpKLA,19,7,0,10,2,1,2,0,0,7,0
5GriBWwo7jmoBYNb0bXGOQ,2,24,1,12,2,1,0,0,0,24,8
5h1tfCQrb4lh8r26BZ7i-w,3,3,0,4,0,2,0,1,0,3,0
5Hc_uD9u8KF2_rZD6eA6Sg,52,93,4,67,42,39,16,187,4,93,13.9785
5jxawiH65qeJxgUSl5Lvcw,12,110,13,78,19,12,10,21,0,110,15.3226
5K5p8Mo8hDLX2XRL6k42ow,0,17,0,23,2,0,0,0,0,17,17.6471
5L1dmYBRkXeCJ8-DQWykPg,196,384,114,1074,677,330,269,1,9,384,15.1042
5lT4SFxSIMA0oLqBky0a1w,3,5,0,1,0,1,1,1,0,5,0
5OJGv1NS_VOivEB2b5p9xA,0,15,2,15,5,10,3,0,1,15,13.3333
5oWHxYKEmvuZ1HMh66PdOA,5,6,0,12,4,5,2,0,0,6,16.6667
5PvD8sh0v3daO_PKgbDxMw,23,1,0,0,0,0,0,0,0,1,0
5qj753oOhy1VJ_hdKnWilA,7,39,1,37,13,14,0,0,0,39,12.5
5rMWZ2kRpzoXPce5W4bmTg,2,6,0,2,1,0,0,0,0,6,10
5UbXII0XZdNorCN9ByyZ8g,153,291,87,682,310,233,375,0,11,291,18.9831
5uJ0_dyswSoRH82oCf_5Ng,0,1,0,0,0,0,0,0,0,1,0
5Us-xrhPHFcMEVyY_w4x7g,0,1,0,0,0,0,0,0,0,1,0
5uXGa1l0BRTj7Ao_vDHhyg,44,88,13,35,19,7,23,65,1,88,15.9091
5v1OwXLi9RgErLclZKxCEQ,157,582,73,318,139,256,93,0,5,582,18
5vKSh6dXdCGN_ac8K3WdVA,19,2,1,0,0,0,0,0,0,2,0
5WqY6shheH4FVoRkX1_boA,0,2,0,4,0,0,0,0,0,2,0
5WyYDdiktJxB_KpF8ZqBpg,0,2,0,0,0,0,0,0,0,2,0
5Y5KbsI5buMcNh2hTFaRpA,1951,577,94,2612,1751,1127,3820,1216,215,577,8.71022
5ZmL7sCB0IvW9UI9sqMaIg,0,6,0,1,0,0,0,0,1,6,16.6667
5ZvToCRLjMpMtNsbVdelcg,15,39,2,29,15,4,15,22,1,39,15.3846
612MVoSG_Z63ZMlqIfum0g,3,36,4,44,24,10,4,5,1,36,15.7895
61Dbw_0pXcXPsaugyinqZA,0,4,0,1,0,0,0,0,0,4,0
63xW-Z8ahuMWYut-hCHkig,11,119,8,54,19,20,3,32,1,119,17.6471
69pz6WRY_yIegPeuT-It2w,9,8,1,0,1,1,0,0,0,8,0
6DoXmdXEy_P5N-QZzntgA,12,98,3,40,15,15,2,14,2,98,10.5769
6eNPXwtQJO9QFDI5EO1tEw,0,1,0,1,0,0,0,0,0,1,0
6GA2ezUWtVGUR3qC5UpuRA,3,4,0,0,0,0,0,0,0,4,0
6GoAlr5tRT0ujDYePE7kVw,1,3,1,1,0,0,0,0,0,3,0
6H77_hIJjoq-Uht7cXXgZA,3,1,0,0,0,0,0,2,0,1,0
6h9543PmU_I_DfqDF1Bnrg,8,21,4,17,7,5,2,0,0,21,9.52381
6OWnLE1wL_nWJLWKMRpV3w,0,11,0,2,1,2,0,1,0,11,5.55556
6oYSZsRlbd2Mr1Sc2UF_ew,9,21,0,12,5,3,0,9,0,21,18.1818
6RsZAfTYkbVapR4por9qmw,7,144,54,90,20,18,6,0,2,144,15.2778
6rVhgvaYkbGfAxKj0Od01g,1,1,0,0,0,0,0,0,0,1,0
6TzOBLe5AaVgrKZYgKqprA,7,7,1,0,1,0,1,4,0,7,0
6U1cxdvEAetIVM-TqoFX8g,5,23,2,21,0,1,0,0,0,23,13.0435
6vNnMHXS1j_JfLB3xjV29g,0,9,1,4,0,0,0,0,0,9,16.6667
6W47yBFvqtojMOMLeOFvdQ,7,78,6,8,1,0,0,3,0,78,1
6WI58fB1467Zzt_yRbKkNQ,2,3,1,1,0,0,1,0,0,3,0
6wNzxsCXP-vkBPkWdFnlsg,0,1,0,0,0,0,0,0,0,1,0
6xaWTiqRs32LtaTSZ_bxaQ,0,8,2,3,2,0,0,0,0,8,12.5
6-XmQd5rr11QIhOYWfv7ww,0,4,1,0,0,0,0,0,0,4,0
6yS1vmukdsEDphd6bQcQug,1,12,2,1,2,3,0,0,0,12,16.6667
6YXlv9nPZzmzbDTa_lxLfQ,26,67,2,42,12,21,3,33,2,67,10.4478
70bZbGq7JpJf3cyLU2s7Hw,26,21,2,6,3,2,6,34,0,21,0
70mHHrggYIGXMgrnFaSYjQ,1,2,0,2,0,0,0,0,0,2,0
79-Jme5Z9rQMzM_rTZlNvw,22,19,0,8,3,0,3,1,0,19,15.7895
79Vv70bMS1JC9ASCg4dWqg,1,30,7,8,3,1,1,0,0,30,19.3548
7bLzUDYrj3nzSqBZmxGwkw,46,48,4,25,12,6,11,4,1,48,10.4167
7clk7hJlh9U5Kkwq7IGLEw,25,1220,812,910,360,195,24,0,8,1220,15.5356
7CRexuGM8-Ln4a44Ye3nag,15,176,9,223,46,86,18,0,3,176,18.617
7DZs200n2iFbW6PLTWQ43g,12,11,1,8,5,3,12,15,0,11,18.1818
7fDqaGdUMccXQ4bnPwR6yg,120,670,76,1179,641,282,687,39,10,670,11.4706
7-GCDbwKh1JamhVpw_93HA,2,58,21,26,6,4,1,0,0,58,8.33333
7H_yS4D_FVbzZT9yIMwEPg,0,26,5,15,3,3,1,1,0,26,14.8148
7i1mys6ZVQUiRlyO71f70Q,3,27,0,17,1,3,1,0,0,27,18.5185
7jAPWwfrQW3afnfubmuZ6w,2,32,1,9,2,2,1,0,0,32,2.94118
7jjAG0ELeN-SFpxPtBv2rw,4,11,0,27,25,25,3,0,1,11,16.6667
7k4NxX98Cf3TftE7xdG3nQ,7,74,0,39,11,10,9,4,1,74,12.987
7kSSvd7lQYlnsqBGlKB-IA,0,7,3,11,0,1,0,0,0,7,14.2857
7kYScjXuje1C5gMftiVPLg,1,3,0,0,0,0,0,4,0,3,0
7MczEWaY3Ic6p4kBkKH0gw,27,17,1,4,2,2,0,0,0,17,0
7oGNNQ0d_nx_igJk0DST2A,234,83,7,987,1153,2341,642,0,130,83,16.8675
7p7mu2nGI5zDe0nWZXnbdw,4,35,0,14,7,3,0,0,1,35,17.1429
7PS2kZYliMNZEPgcmvAKZQ,1,1,0,1,1,0,0,0,0,1,0
7QEKQJ30LyBNTaG-ocdGzw,135,588,301,2152,1202,896,1535,0,38,588,7.45763
7Uc8tiz_j9LAEZCQWV8TgQ,51,227,38,284,78,91,59,14,9,227,12.931
7uq1fe0H-U0jVXPVjCJu_Q,16,96,15,72,20,17,11,1,1,96,2.06186
7v_Ga7ABZbulxg_at3igqQ,0,6,1,5,3,3,0,0,0,6,16.6667
7v_kefk0FmH3wh8n0uOylA,30,2,0,5,2,2,4,2,3,2,0
7V2TEUN-PunAA02gR1CsLA,0,16,0,3,1,0,0,0,0,16,12.5
7vihRQR4KP0Bw3qvlOWhBg,50,14,1,11,5,3,4,2,1,14,0
7wM_2G5tLOn14t5uqCrREQ,1,8,1,18,11,8,4,0,1,8,12.5
7xt-iwSbUXsz5docmtvhlQ,44,133,19,139,39,74,14,14,2,133,16.7883
7zhra0LL0dLYo4Nmo5Q_xA,100,542,116,617,236,131,132,10,11,542,19.6691
82aK4T1sZe4M6E-3wazemA,3,6,0,14,9,2,1,0,1,6,16.6667
82cSkx1JPYncxaEbHw881Q,3,74,19,53,20,20,5,0,0,74,12.1622
84Mq8aZwqWmfikm-ILRzQ,2,4,0,0,0,0,0,1,0,4,0
85K-RoDDrnisd8ZQxgl8Yg,0,2,1,7,0,0,0,0,0,2,0
8Bdt9ApiagB_Mf38FntL5g,58,114,0,173,126,36,13,0,0,114,15.7025
8D8mjeNaJ3DGhl0WX8copA,8,98,9,103,32,31,16,3,2,98,18.1818
8DDgJuKgsPySrqn-dAf_xQ,26,65,0,102,46,62,19,2,4,65,12.987
8dS-Pxot2KaTvq2cEeYIeg,88,150,31,141,50,68,47,0,9,150,14.6667
8Fa_YAg29U-UlvQp1JTyiw,9,50,19,68,27,16,15,0,1,50,9.80392
8Gy1MJ4gCnOL8qiwD2ZGLQ,91,123,10,143,88,110,386,274,2,123,5.10949
8hbctCdAxCAv5gPt7232iw,37,20,0,13,3,3,1,0,1,20,14.2857
8i4ePpKo0wS-FiMf_i5IVQ,2,4,0,0,1,0,0,0,0,4,0
8KVU28fYsmmMa1AvIr4xyw,0,1,0,0,0,0,0,0,0,1,0
8L5Q1P4UrRWuJUos8WygwA,3,7,0,14,3,13,0,0,0,7,14.2857
8Lin9tJ1_AzgqzyttZJ4BA,0,1,0,0,0,0,1,0,0,1,0
8lsPMsauMI8bkk90ooTDtw,44,72,8,98,43,20,51,14,1,72,9.45946
8mDID8uHAgS9hhF81mcs0g,5,2,0,1,1,0,1,0,0,2,0
8mjt1XqLK3TFG9FM7IBIvA,13,11,0,13,1,3,2,2,1,11,16.6667
8mnXh8wAiTipPQKT56Fg4g,0,3,0,0,0,1,0,0,0,3,0
8MRXrnsLlTpnm3pbqpRcaQ,1,11,0,2,2,0,5,5,0,11,18.1818
8muJDq4cHaA613vRsHgYow,7,20,5,28,18,9,6,4,0,20,5
8O2_6-chOQwbh1_ueH_jkg,0,5,1,1,1,1,0,0,0,5,0
8O-Ao2mLJz-47BDnq-gpdQ,55,9,3,13,5,2,9,31,1,9,10
8QAHOwtLZnZJFEA8nad7uw,136,599,333,2294,1010,294,540,6,32,599,14.5937
8QftS_uW9NmrliKGYvgfGA,0,4,0,0,0,0,0,0,0,4,0
8QREh8R-gWu5MukqpU4E5g,0,3,0,12,7,8,2,0,0,3,0
8s0OCrERdmPN34M70S4UlA,0,3,1,0,0,0,0,0,0,3,0
8sAGXoMY7I9quLmCO1F8ZQ,54,269,80,442,167,72,73,25,9,269,16.6667
8tT0XLw6G2XoYMyw6WBhKw,15,8,1,1,0,0,0,3,0,8,11.1111
8ugcX7NhVKrXxifkJPfskA,23,5,0,6,1,2,0,0,0,5,0
